Code,Tube Number,Culture,Name,Ploidity,CaCo3,Filter,Rinse,Comment on filtration,Ca (ug/L),Mg (ug/L),Sr (ug/L),Na (ug/L),Ca sw corr,Ca sw + V corr,PIC mmol/m3,PIC ug/l,PIC blank mean mmol/m3,PIC blank mean ug/l,PIC blank stdev mmol/m3,PIC blank stdev ug/l,PIC blank %
CBY1,62.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.4,K2B4O7,,259.44,113.02,1.67,733.81,231.39717280400703,77.13239093466902,1.8097912196353665,21.717494635624398,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,6.548741780018005
CBY2,63.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.4,K2B4O7,,447.84,108.03,2.684,632.06,423.68558760782855,141.2285292026095,3.412194676333878,40.94633611600654,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,3.4733819425185044
CBY3,64.0,RCC1164,Calcidiscus leptoporus,2n,Yes,0.4,K2B4O7,,1402.51,106.85,7.871,422.56,1386.3617094889155,462.12056982963855,11.434495692009605,137.21394830411526,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,1.0365000514555192
NBY1,74.0,RCC1129,Calcidiscus leptoporus,n,No,0.4,K2B4O7,,124.55,328.49,1.997,2553.61,26.962826268435208,8.987608756145068,0.10617166517226803,1.2740599820672163,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,111.6291748265013
NBY2,75.0,RCC1129,Calcidiscus leptoporus,n,No,0.4,K2B4O7,,60.67,159.61,0.811,1129.47,17.5068759855301,5.835625328510034,0.027372079481392142,0.3284649537767059,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,432.9906823919935
NBY3,76.0,RCC1129,Calcidiscus leptoporus,n,No,0.4,K2B4O7,,27.44,63.61,0.299,278.26,16.806188665244413,5.602062888414804,0.02153301847901143,0.25839622174813703,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,550.403808211471
UBY1,86.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,K2B4O7,,222.31,1165.15,1.384,954.29,185.8414460625174,61.9471486875058,1.4301601634562864,17.161921961475436,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,8.287082577166277
UBY2,87.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,K2B4O7,,164.39,375.16,0.907,508.67,144.95098321120489,48.31699440373496,1.0894063063620154,13.072875676344182,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,10.8791874105394
UBY3,88.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,K2B4O7,,137.36,465.17,0.625,188.78,130.14570076987297,43.38190025662431,0.9660289526842492,11.592347432210989,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,12.268633709376719
SBY1,38.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,K2B4O7,,184.81,253.62,1.728,1649.04,121.84413288477712,40.61471096159237,0.8968492203084506,10.762190643701405,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,13.214992113233587
SBY2,39.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,K2B4O7,,220.67,220.66,1.613,1317.27,170.3722220353238,56.79074067844127,1.301249963229673,15.614999558756075,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,9.108054338552932
SBY3,36.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,K2B4O7,,,,,,,,,,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,
